 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         13147        5222320  [Ljava.lang.Object; (java.base@11.0.8)
   2:         28799        4681904  [B (java.base@11.0.8)
   3:          3480        4030056  [I (java.base@11.0.8)
   4:         42658        1023792  java.lang.String (java.base@11.0.8)
   5:           610         941848  [C (java.base@11.0.8)
   6:          7687         914656  java.lang.Class (java.base@11.0.8)
   7:         19492         623744  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.8)
   8:          4902         431376  java.lang.reflect.Method (java.base@11.0.8)
   9:         20179         322864  java.lang.Integer (java.base@11.0.8)
  10:          9565         306080  java.util.HashMap$Node (java.base@11.0.8)
  11:          1948         280512  [Lorg.eclipse.jetty.util.TreeTrie$Node;
  12:          6448         257920  java.util.LinkedHashMap$Entry (java.base@11.0.8)
  13:          2719         239104  [Ljava.util.HashMap$Node; (java.base@11.0.8)
  14:           360         207360  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  15:         12229         195664  java.lang.Object (java.base@11.0.8)
  16:          6106         195392  java.lang.invoke.LambdaForm$Name (java.base@11.0.8)
  17:           289         175760  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.8)
  18:          6329         159208  [Ljava.lang.Class; (java.base@11.0.8)
  19:          1872         134784  io.netty.buffer.PoolSubpage
  20:          1680         120960  java.lang.reflect.Field (java.base@11.0.8)
  21:          2152         120512  java.util.LinkedHashMap (java.base@11.0.8)
  22:           184         104072  [J (java.base@11.0.8)
  23:          2059          98832  java.lang.invoke.MemberName (java.base@11.0.8)
  24:          3878          93072  java.util.ArrayList (java.base@11.0.8)
  25:          2159          86360  java.lang.ref.SoftReference (java.base@11.0.8)
  26:             2          80552  [Ljava.lang.Integer; (java.base@11.0.8)
  27:          1670          80160  java.util.HashMap (java.base@11.0.8)
  28:          2296          73472  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@11.0.8)
  29:          1477          70896  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@11.0.8)
  30:          1948          62336  org.eclipse.jetty.util.TreeTrie$Node
  31:          1648          58200  [Ljava.lang.String; (java.base@11.0.8)
  32:           818          52352  java.lang.Class$ReflectionData (java.base@11.0.8)
  33:          1257          50280  java.lang.invoke.MethodType (java.base@11.0.8)
  34:           626          50080  java.lang.reflect.Constructor (java.base@11.0.8)
  35:           657          49616  [Ljava.lang.invoke.LambdaForm$Name; (java.base@11.0.8)
  36:          1527          48864  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@11.0.8)
  37:          1516          48512  javax.management.MBeanParameterInfo (java.management@11.0.8)
  38:           732          46848  java.nio.DirectByteBuffer (java.base@11.0.8)
  39:           566          38488  [Ljava.lang.ref.SoftReference; (java.base@11.0.8)
  40:          2288          36608  java.util.concurrent.locks.ReentrantLock (java.base@11.0.8)
  41:          1524          36576  java.lang.invoke.ResolvedMethodName (java.base@11.0.8)
  42:          1086          34752  java.lang.ref.WeakReference (java.base@11.0.8)
  43:           848          33920  org.eclipse.jetty.xml.XmlParser$Node
  44:           491          31424  java.util.concurrent.ConcurrentHashMap (java.base@11.0.8)
  45:           652          31296  java.lang.invoke.LambdaForm (java.base@11.0.8)
  46:           399          28216  [Ljava.lang.reflect.Method; (java.base@11.0.8)
  47:           692          27680  java.util.TreeMap$Entry (java.base@11.0.8)
  48:           180          27360  io.netty.channel.kqueue.KQueueEventLoop
  49:           844          27008  java.lang.invoke.LambdaForm$NamedFunction (java.base@11.0.8)
  50:          1125          27000  com.google.common.collect.SingletonImmutableSet
  51:           550          26400  io.airlift.airline.model.OptionMetadata
  52:           444          24864  java.lang.invoke.LambdaFormEditor$Transform (java.base@11.0.8)
  53:           995          23880  sun.reflect.annotation.AnnotationInvocationHandler (java.base@11.0.8)
  54:           739          23648  java.util.Locale (java.base@11.0.8)
  55:           738          23616  sun.util.locale.BaseLocale (java.base@11.0.8)
  56:           738          23616  sun.util.locale.BaseLocale$Key (java.base@11.0.8)
  57:           546          21840  jdk.internal.ref.Cleaner (java.base@11.0.8)
  58:           327          20928  java.net.URL (java.base@11.0.8)
  59:           642          20544  java.lang.invoke.DirectMethodHandle (java.base@11.0.8)
  60:           234          20144  [Ljava.util.WeakHashMap$Entry; (java.base@11.0.8)
  61:            99          19800  com.sun.org.apache.xerces.internal.impl.dv.xs.XSSimpleTypeDecl (java.xml@11.0.8)
  62:           595          19040  io.airlift.airline.Accessor
  63:           334          18704  java.lang.invoke.MethodTypeForm (java.base@11.0.8)
  64:           438          17520  javax.management.MBeanOperationInfo (java.management@11.0.8)
  65:           546          17472  java.nio.DirectByteBuffer$Deallocator (java.base@11.0.8)
  66:           700          16800  org.eclipse.jetty.util.ArrayTrie$Node
  67:           398          15920  java.lang.invoke.DirectMethodHandle$Accessor (java.base@11.0.8)
  68:           318          15264  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@11.0.8)
  69:           469          15008  java.util.Hashtable$Entry (java.base@11.0.8)
  70:           149          14304  java.util.jar.JarFile$JarFileEntry (java.base@11.0.8)
  71:           288          13824  io.netty.buffer.PoolChunkList
  72:           345          13800  java.util.WeakHashMap$Entry (java.base@11.0.8)
  73:           842          13568  [Lorg.eclipse.jetty.xml.XmlParser$Attribute;
  74:           208          13312  java.util.zip.Inflater (java.base@11.0.8)
  75:           104          13312  sun.nio.fs.UnixFileAttributes (java.base@11.0.8)
  76:           396          12672  javax.management.MBeanAttributeInfo (java.management@11.0.8)
  77:           526          12624  java.util.concurrent.CopyOnWriteArrayList (java.base@11.0.8)
  78:           319          12064  [Ljavax.management.MBeanParameterInfo; (java.management@11.0.8)
  79:           494          11848  [Ljava.lang.reflect.Constructor; (java.base@11.0.8)
  80:           207          11592  java.beans.MethodDescriptor (java.desktop@11.0.8)
  81:           181          11584  io.netty.buffer.UnpooledUnsafeDirectByteBuf
  82:           360          11520  io.netty.channel.kqueue.KQueueEventArray
  83:           273          10920  java.lang.Package$VersionInfo (java.base@11.0.8)
  84:           341          10912  jdk.internal.math.FDBigInteger (java.base@11.0.8)
  85:           452          10848  java.util.LinkedList$Node (java.base@11.0.8)
  86:           336          10752  org.eclipse.jetty.webapp.MetaData$OriginInfo
  87:           217          10416  java.util.WeakHashMap (java.base@11.0.8)
  88:           321          10272  java.lang.Package (java.base@11.0.8)
  89:           616           9856  com.google.common.collect.SingletonImmutableList
  90:           390           9360  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@11.0.8)
