 num     #instances         #bytes  class name (module)
  87:           149          14304  java.util.jar.JarFile$JarFileEntry (java.base@11.0.8)
  88:           288          13824  io.netty.buffer.PoolChunkList
  89:           842          13568  [Lorg.eclipse.jetty.xml.XmlParser$Attribute;
  90:           211          13504  java.util.zip.Inflater (java.base@11.0.8)
  91:           104          13312  sun.nio.fs.UnixFileAttributes (java.base@11.0.8)
  92:           409          13088  java.util.LinkedList (java.base@11.0.8)
  93:           533          12792  java.util.concurrent.CopyOnWriteArrayList (java.base@11.0.8)
  94:           396          12672  javax.management.MBeanAttributeInfo (java.management@11.0.8)
  95:           525          12600  java.util.concurrent.ConcurrentLinkedQueue$Node (java.base@11.0.8)
  96:           522          12520  [Ljava.lang.reflect.Constructor; (java.base@11.0.8)
  97:           319          12064  [Ljavax.management.MBeanParameterInfo; (java.management@11.0.8)
  98:            31          11904  org.apache.activemq.artemis.utils.ActiveMQThreadFactory$1
  99:           247          11856  java.util.WeakHashMap (java.base@11.0.8)
 100:           291          11640  java.lang.Package$VersionInfo (java.base@11.0.8)
 101:           291          11640  org.apache.activemq.artemis.core.persistence.impl.journal.OperationContextImpl$TaskHolder
 102:           207          11592  java.beans.MethodDescriptor (java.desktop@11.0.8)
 103:           181          11584  io.netty.buffer.UnpooledUnsafeDirectByteBuf
 104:           360          11520  io.netty.channel.kqueue.KQueueEventArray
 105:           357          11424  java.lang.Package (java.base@11.0.8)
 106:           341          10912  jdk.internal.math.FDBigInteger (java.base@11.0.8)
 107:           336          10752  org.eclipse.jetty.webapp.MetaData$OriginInfo
 108:           147          10584  org.apache.activemq.artemis.core.transaction.impl.TransactionImpl
 109:           261          10440  org.apache.logging.log4j.core.Logger
 110:           261          10440  org.apache.logging.log4j.core.Logger$PrivateConfig
 111:           416           9984  io.netty.buffer.LongPriorityQueue
 112:           416           9984  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@11.0.8)
 113:           616           9856  com.google.common.collect.SingletonImmutableList
 114:           291           9312  java.lang.ref.ReferenceQueue (java.base@11.0.8)
 115:           385           9240  java.beans.MethodRef (java.desktop@11.0.8)
 116:           128           9216  org.apache.activemq.artemis.utils.collections.ConcurrentLongHashMap$Section
 117:           136           8768  [Ljava.util.Hashtable$Entry; (java.base@11.0.8)
 118:           181           8688  java.nio.HeapByteBuffer (java.base@11.0.8)
 119:           180           8640  io.netty.channel.unix.IovArray
 120:           358           8592  java.time.LocalDateTime (java.base@11.0.8)
 121:           355           8520  java.lang.module.ModuleDescriptor$Exports (java.base@11.0.8)
 122:           261           8352  org.apache.logging.slf4j.Log4jLogger
 123:             8           8320  [Lorg.apache.qpid.proton.codec.PrimitiveTypeEncoding;
 124:           338           8112  java.util.jar.Attributes$Name (java.base@11.0.8)
 125:           504           8064  org.apache.qpid.proton.amqp.messaging.ApplicationProperties
 126:           497           7952  java.util.LinkedHashMap$LinkedValues (java.base@11.0.8)
 127:            13           7824  [Lorg.eclipse.jetty.util.ArrayTrie$Node;
 128:           234           7488  java.lang.invoke.BoundMethodHandle$Species_L (java.base@11.0.8)
 129:            92           7360  java.net.URI (java.base@11.0.8)
 130:           100           7344  [Ljavax.management.MBeanAttributeInfo; (java.management@11.0.8)
 131:           154           7264  [Ljava.lang.reflect.Field; (java.base@11.0.8)
 132:           225           7200  org.apache.logging.log4j.core.config.plugins.processor.PluginEntry
 133:           128           7168  org.eclipse.jetty.io.ArrayRetainableByteBufferPool$Bucket
 134:           447           7152  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@11.0.8)
 135:            19           7144  java.lang.Thread (java.base@11.0.8)
 136:            40           7120  [Z (java.base@11.0.8)
 137:           178           7120  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@11.0.8)
 138:           294           7056  javax.management.ImmutableDescriptor (java.management@11.0.8)
 139:           291           6984  org.eclipse.jetty.util.TreeTrie
 140:           217           6944  sun.nio.fs.UnixPath (java.base@11.0.8)
 141:           144           6912  org.apache.activemq.artemis.core.protocol.core.impl.wireformat.SessionAcknowledgeMessage
 142:           142           6816  org.apache.activemq.artemis.core.journal.impl.JournalImpl$5
 143:           281           6744  java.util.ImmutableCollections$Set12 (java.base@11.0.8)
 144:           105           6720  java.util.jar.JarFile (java.base@11.0.8)
 145:           104           6656  java.util.zip.ZipFile$Source (java.base@11.0.8)
 146:           207           6624  io.netty.util.internal.LongAdderCounter
 147:           112           6504  [Ljava.lang.invoke.MethodHandle; (java.base@11.0.8)
