 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         14338        5428592  [Ljava.lang.Object; (java.base@11.0.8)
   2:         35567        5262480  [B (java.base@11.0.8)
   3:          3648        4034224  [I (java.base@11.0.8)
   4:         49255        1182120  java.lang.String (java.base@11.0.8)
   5:          8437        1002520  java.lang.Class (java.base@11.0.8)
   6:           614         961016  [C (java.base@11.0.8)
   7:         21395         684640  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.8)
   8:          4997         439736  java.lang.reflect.Method (java.base@11.0.8)
   9:         10815         346080  java.util.HashMap$Node (java.base@11.0.8)
  10:         20186         322976  java.lang.Integer (java.base@11.0.8)
  11:          1948         280512  [Lorg.eclipse.jetty.util.TreeTrie$Node;
  12:          6545         261800  java.util.LinkedHashMap$Entry (java.base@11.0.8)
  13:          2800         252776  [Ljava.util.HashMap$Node; (java.base@11.0.8)
  14:         14000         224000  java.lang.Object (java.base@11.0.8)
  15:          6574         210368  java.lang.invoke.LambdaForm$Name (java.base@11.0.8)
  16:           360         207360  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  17:           310         194336  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.8)
  18:          6597         166024  [Ljava.lang.Class; (java.base@11.0.8)
  19:          1887         135864  io.netty.buffer.PoolSubpage
  20:          1715         123480  java.lang.reflect.Field (java.base@11.0.8)
  21:          2190         122640  java.util.LinkedHashMap (java.base@11.0.8)
  22:           271         112808  [J (java.base@11.0.8)
  23:           160         107520  io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
  24:          2169         104112  java.lang.invoke.MemberName (java.base@11.0.8)
  25:          2073          99504  java.util.HashMap (java.base@11.0.8)
  26:          3920          94080  java.util.ArrayList (java.base@11.0.8)
  27:          2219          88760  java.lang.ref.SoftReference (java.base@11.0.8)
  28:             2          80552  [Ljava.lang.Integer; (java.base@11.0.8)
  29:          1654          75856  [Ljava.lang.String; (java.base@11.0.8)
  30:          2313          74016  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@11.0.8)
  31:          1477          70896  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@11.0.8)
  32:          1948          62336  org.eclipse.jetty.util.TreeTrie$Node
  33:           856          54784  java.lang.Class$ReflectionData (java.base@11.0.8)
  34:           711          53848  [Ljava.lang.invoke.LambdaForm$Name; (java.base@11.0.8)
  35:          1340          53600  java.lang.invoke.MethodType (java.base@11.0.8)
  36:           649          51920  java.lang.reflect.Constructor (java.base@11.0.8)
  37:          1516          48512  javax.management.MBeanParameterInfo (java.management@11.0.8)
  38:           733          46912  java.nio.DirectByteBuffer (java.base@11.0.8)
  39:          1442          46144  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@11.0.8)
  40:           592          40256  [Ljava.lang.ref.SoftReference; (java.base@11.0.8)
  41:          1628          39072  java.lang.invoke.ResolvedMethodName (java.base@11.0.8)
  42:          2305          36880  java.util.concurrent.locks.ReentrantLock (java.base@11.0.8)
  43:           920          36800  java.util.TreeMap$Entry (java.base@11.0.8)
  44:          1092          34944  java.lang.ref.WeakReference (java.base@11.0.8)
  45:           848          33920  org.eclipse.jetty.xml.XmlParser$Node
  46:           706          33888  java.lang.invoke.LambdaForm (java.base@11.0.8)
  47:           517          33088  java.util.concurrent.ConcurrentHashMap (java.base@11.0.8)
  48:           418          28952  [Ljava.lang.reflect.Method; (java.base@11.0.8)
  49:           879          28128  java.lang.invoke.LambdaForm$NamedFunction (java.base@11.0.8)
  50:           180          27360  io.netty.channel.kqueue.KQueueEventLoop
  51:           484          27104  java.lang.invoke.LambdaFormEditor$Transform (java.base@11.0.8)
  52:          1125          27000  com.google.common.collect.SingletonImmutableSet
  53:           550          26400  io.airlift.airline.model.OptionMetadata
  54:          1004          24096  sun.reflect.annotation.AnnotationInvocationHandler (java.base@11.0.8)
  55:           739          23648  java.util.Locale (java.base@11.0.8)
  56:           738          23616  sun.util.locale.BaseLocale (java.base@11.0.8)
  57:           738          23616  sun.util.locale.BaseLocale$Key (java.base@11.0.8)
  58:           547          21880  jdk.internal.ref.Cleaner (java.base@11.0.8)
  59:           680          21760  java.lang.invoke.DirectMethodHandle (java.base@11.0.8)
  60:           327          20928  java.net.URL (java.base@11.0.8)
  61:           241          20736  [Ljava.util.WeakHashMap$Entry; (java.base@11.0.8)
  62:            99          19800  com.sun.org.apache.xerces.internal.impl.dv.xs.XSSimpleTypeDecl (java.xml@11.0.8)
  63:           349          19544  java.lang.invoke.MethodTypeForm (java.base@11.0.8)
  64:           595          19040  io.airlift.airline.Accessor
  65:           438          17520  javax.management.MBeanOperationInfo (java.management@11.0.8)
  66:           547          17504  java.nio.DirectByteBuffer$Deallocator (java.base@11.0.8)
  67:           353          16944  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@11.0.8)
  68:           700          16800  org.eclipse.jetty.util.ArrayTrie$Node
  69:           398          15920  java.lang.invoke.DirectMethodHandle$Accessor (java.base@11.0.8)
  70:           469          15008  java.util.Hashtable$Entry (java.base@11.0.8)
  71:           359          14360  java.util.WeakHashMap$Entry (java.base@11.0.8)
  72:           149          14304  java.util.jar.JarFile$JarFileEntry (java.base@11.0.8)
