 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         41507        5366048  [B (java.base@11.0.8)
   2:         13201        5224944  [Ljava.lang.Object; (java.base@11.0.8)
   3:          3523        4031680  [I (java.base@11.0.8)
   4:         42803        1027272  java.lang.String (java.base@11.0.8)
   5:           759         948376  [C (java.base@11.0.8)
   6:          7687         914656  java.lang.Class (java.base@11.0.8)
   7:         19492         623744  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.8)
   8:          4902         431376  java.lang.reflect.Method (java.base@11.0.8)
   9:         20179         322864  java.lang.Integer (java.base@11.0.8)
  10:          9691         310112  java.util.HashMap$Node (java.base@11.0.8)
  11:          1948         280512  [Lorg.eclipse.jetty.util.TreeTrie$Node;
  12:          6589         263560  java.util.LinkedHashMap$Entry (java.base@11.0.8)
  13:          2756         243408  [Ljava.util.HashMap$Node; (java.base@11.0.8)
  14:           360         207360  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  15:         12231         195696  java.lang.Object (java.base@11.0.8)
  16:          6106         195392  java.lang.invoke.LambdaForm$Name (java.base@11.0.8)
  17:           289         175760  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.8)
  18:          6330         159248  [Ljava.lang.Class; (java.base@11.0.8)
  19:          1872         134784  io.netty.buffer.PoolSubpage
  20:          1773         127656  java.lang.reflect.Field (java.base@11.0.8)
  21:          2202         123312  java.util.LinkedHashMap (java.base@11.0.8)
  22:           184         104072  [J (java.base@11.0.8)
  23:          2059          98832  java.lang.invoke.MemberName (java.base@11.0.8)
  24:          3900          93600  java.util.ArrayList (java.base@11.0.8)
  25:          2159          86360  java.lang.ref.SoftReference (java.base@11.0.8)
  26:          1687          80976  java.util.HashMap (java.base@11.0.8)
  27:             2          80552  [Ljava.lang.Integer; (java.base@11.0.8)
  28:          2296          73472  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@11.0.8)
  29:          1477          70896  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@11.0.8)
  30:          1948          62336  org.eclipse.jetty.util.TreeTrie$Node
  31:          1652          58664  [Ljava.lang.String; (java.base@11.0.8)
  32:           818          52352  java.lang.Class$ReflectionData (java.base@11.0.8)
  33:          1257          50280  java.lang.invoke.MethodType (java.base@11.0.8)
  34:           626          50080  java.lang.reflect.Constructor (java.base@11.0.8)
  35:           657          49616  [Ljava.lang.invoke.LambdaForm$Name; (java.base@11.0.8)
  36:          1527          48864  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@11.0.8)
  37:          1516          48512  javax.management.MBeanParameterInfo (java.management@11.0.8)
  38:           732          46848  java.nio.DirectByteBuffer (java.base@11.0.8)
  39:           566          38488  [Ljava.lang.ref.SoftReference; (java.base@11.0.8)
  40:          2288          36608  java.util.concurrent.locks.ReentrantLock (java.base@11.0.8)
  41:          1524          36576  java.lang.invoke.ResolvedMethodName (java.base@11.0.8)
  42:          1087          34784  java.lang.ref.WeakReference (java.base@11.0.8)
  43:           848          33920  org.eclipse.jetty.xml.XmlParser$Node
  44:           491          31424  java.util.concurrent.ConcurrentHashMap (java.base@11.0.8)
  45:           652          31296  java.lang.invoke.LambdaForm (java.base@11.0.8)
  46:           399          28216  [Ljava.lang.reflect.Method; (java.base@11.0.8)
  47:           692          27680  java.util.TreeMap$Entry (java.base@11.0.8)
  48:           180          27360  io.netty.channel.kqueue.KQueueEventLoop
  49:           844          27008  java.lang.invoke.LambdaForm$NamedFunction (java.base@11.0.8)
  50:          1125          27000  com.google.common.collect.SingletonImmutableSet
  51:           553          26544  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@11.0.8)
  52:           550          26400  io.airlift.airline.model.OptionMetadata
  53:           444          24864  java.lang.invoke.LambdaFormEditor$Transform (java.base@11.0.8)
  54:           995          23880  sun.reflect.annotation.AnnotationInvocationHandler (java.base@11.0.8)
  55:           739          23648  java.util.Locale (java.base@11.0.8)
  56:           738          23616  sun.util.locale.BaseLocale (java.base@11.0.8)
  57:           738          23616  sun.util.locale.BaseLocale$Key (java.base@11.0.8)
  58:           569          22760  jdk.internal.ref.Cleaner (java.base@11.0.8)
  59:           327          20928  java.net.URL (java.base@11.0.8)
  60:           642          20544  java.lang.invoke.DirectMethodHandle (java.base@11.0.8)
  61:           237          20384  [Ljava.util.WeakHashMap$Entry; (java.base@11.0.8)
  62:            99          19800  com.sun.org.apache.xerces.internal.impl.dv.xs.XSSimpleTypeDecl (java.xml@11.0.8)
  63:           595          19040  io.airlift.airline.Accessor
  64:           334          18704  java.lang.invoke.MethodTypeForm (java.base@11.0.8)
  65:           569          18208  java.nio.DirectByteBuffer$Deallocator (java.base@11.0.8)
  66:           438          17520  javax.management.MBeanOperationInfo (java.management@11.0.8)
  67:           700          16800  org.eclipse.jetty.util.ArrayTrie$Node
  68:           398          15920  java.lang.invoke.DirectMethodHandle$Accessor (java.base@11.0.8)
  69:           469          15008  java.util.Hashtable$Entry (java.base@11.0.8)
  70:           152          14592  java.util.jar.JarFile$JarFileEntry (java.base@11.0.8)
  71:           288          13824  io.netty.buffer.PoolChunkList
  72:           345          13800  java.util.WeakHashMap$Entry (java.base@11.0.8)
  73:           842          13568  [Lorg.eclipse.jetty.xml.XmlParser$Attribute;
  74:           208          13312  java.util.zip.Inflater (java.base@11.0.8)
  75:           104          13312  sun.nio.fs.UnixFileAttributes (java.base@11.0.8)
  76:           528          12672  java.util.concurrent.CopyOnWriteArrayList (java.base@11.0.8)
  77:           396          12672  javax.management.MBeanAttributeInfo (java.management@11.0.8)
  78:           319          12064  [Ljavax.management.MBeanParameterInfo; (java.management@11.0.8)
  79:           494          11848  [Ljava.lang.reflect.Constructor; (java.base@11.0.8)
  80:           207          11592  java.beans.MethodDescriptor (java.desktop@11.0.8)
  81:           181          11584  io.netty.buffer.UnpooledUnsafeDirectByteBuf
  82:           360          11520  io.netty.channel.kqueue.KQueueEventArray
  83:           273          10920  java.lang.Package$VersionInfo (java.base@11.0.8)
  84:           341          10912  jdk.internal.math.FDBigInteger (java.base@11.0.8)
  85:           452          10848  java.util.LinkedList$Node (java.base@11.0.8)
  86:           336          10752  org.eclipse.jetty.webapp.MetaData$OriginInfo
  87:           220          10560  java.util.WeakHashMap (java.base@11.0.8)
  88:           321          10272  java.lang.Package (java.base@11.0.8)
  89:           616           9856  com.google.common.collect.SingletonImmutableList
  90:           390           9360  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@11.0.8)
  91:           385           9240  java.beans.MethodRef (java.desktop@11.0.8)
  92:           128           9216  org.apache.activemq.artemis.utils.collections.ConcurrentLongHashMap$Section
  93:           229           9160  org.apache.logging.log4j.core.Logger
  94:           229           9160  org.apache.logging.log4j.core.Logger$PrivateConfig
  95:           135           8704  [Ljava.util.Hashtable$Entry; (java.base@11.0.8)
  96:           180           8640  io.netty.channel.unix.IovArray
  97:           180           8640  io.netty.util.collection.IntObjectHashMap
  98:           358           8592  java.time.LocalDateTime (java.base@11.0.8)
  99:           355           8520  java.lang.module.ModuleDescriptor$Exports (java.base@11.0.8)
 100:            48           8448  [Lio.netty.buffer.PoolSubpage;
 101:           263           8416  java.lang.ref.ReferenceQueue (java.base@11.0.8)
 102:           257           8224  java.util.LinkedList (java.base@11.0.8)
 103:            21           8064  org.apache.activemq.artemis.utils.ActiveMQThreadFactory$1
 104:           502           8032  java.util.LinkedHashMap$LinkedValues (java.base@11.0.8)
 105:           166           7968  java.nio.HeapByteBuffer (java.base@11.0.8)
 106:            13           7824  [Lorg.eclipse.jetty.util.ArrayTrie$Node;
 107:           324           7776  java.util.jar.Attributes$Name (java.base@11.0.8)
 108:            49           7376  [Z (java.base@11.0.8)
 109:            92           7360  java.net.URI (java.base@11.0.8)
 110:           100           7344  [Ljavax.management.MBeanAttributeInfo; (java.management@11.0.8)
 111:           229           7328  org.apache.logging.slf4j.Log4jLogger
 112:           225           7200  org.apache.logging.log4j.core.config.plugins.processor.PluginEntry
 113:           128           7168  org.eclipse.jetty.io.ArrayRetainableByteBufferPool$Bucket
 114:            19           7144  java.lang.Thread (java.base@11.0.8)
 115:           221           7072  java.lang.invoke.BoundMethodHandle$Species_L (java.base@11.0.8)
 116:           294           7056  com.sun.org.apache.xerces.internal.util.SymbolHash$Entry (java.xml@11.0.8)
 117:           294           7056  javax.management.ImmutableDescriptor (java.management@11.0.8)
 118:           291           6984  org.eclipse.jetty.util.TreeTrie
 119:           147           6952  [Ljava.lang.reflect.Field; (java.base@11.0.8)
 120:           214           6848  sun.nio.fs.UnixPath (java.base@11.0.8)
 121:           281           6744  java.util.ImmutableCollections$Set12 (java.base@11.0.8)
 122:           105           6720  java.util.jar.JarFile (java.base@11.0.8)
 123:           420           6720  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@11.0.8)
 124:           104           6656  java.util.zip.ZipFile$Source (java.base@11.0.8)
 125:           276           6624  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@11.0.8)
 126:           116           6496  java.io.FileCleanable (java.base@11.0.8)
 127:            91           6440  [Ljavax.management.MBeanOperationInfo; (java.management@11.0.8)
 128:           161           6440  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@11.0.8)
 129:           134           6432  java.util.Hashtable (java.base@11.0.8)
 130:            89           6408  java.beans.PropertyDescriptor (java.desktop@11.0.8)
 131:           108           6376  [Ljava.lang.invoke.MethodHandle; (java.base@11.0.8)
 132:           263           6312  java.lang.Long (java.base@11.0.8)
 133:           194           6208  io.netty.util.internal.LongAdderCounter
 134:           255           6120  java.lang.Class$AnnotationData (java.base@11.0.8)
 135:           250           6000  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig (java.management@11.0.8)
 136:           106           5936  java.lang.Module (java.base@11.0.8)
 137:           185           5920  io.netty.util.concurrent.DefaultPromise
 138:           182           5824  java.util.concurrent.CountDownLatch$Sync (java.base@11.0.8)
 139:           232           5568  java.util.concurrent.atomic.AtomicLong (java.base@11.0.8)
 140:           231           5544  org.apache.logging.log4j.message.DefaultFlowMessageFactory
 141:           231           5544  org.apache.logging.log4j.spi.AbstractLogger$LocalLogBuilder
 142:           225           5400  org.apache.logging.log4j.core.config.plugins.util.PluginType
 143:           276           5240  [Lsun.reflect.generics.tree.TypeArgument; (java.base@11.0.8)
 144:           130           5200  org.eclipse.jetty.io.ByteBufferPool$Bucket
 145:           105           5040  jdk.internal.loader.URLClassPath$JarLoader (java.base@11.0.8)
 146:           208           4992  java.util.zip.Inflater$InflaterZStreamRef (java.base@11.0.8)
 147:           207           4968  com.sun.org.apache.xerces.internal.util.SymbolTable$Entry (java.xml@11.0.8)
 148:           206           4944  java.util.concurrent.ConcurrentLinkedQueue$Node (java.base@11.0.8)
 149:           205           4920  java.lang.invoke.MethodHandleNatives$CallSiteContext (java.base@11.0.8)
 150:           153           4896  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@11.0.8)
 151:           121           4840  java.io.FileDescriptor (java.base@11.0.8)
 152:           100           4800  java.util.logging.LogManager$LoggerWeakRef (java.logging@11.0.8)
 153:           100           4800  javax.management.MBeanInfo (java.management@11.0.8)
 154:            56           4736  [Lcom.sun.xml.bind.v2.util.QNameMap$Entry;
 155:           294           4704  org.eclipse.jetty.util.thread.AutoLock
 156:            73           4672  java.lang.invoke.BoundMethodHandle$Species_LLLLLLIIL (java.base@11.0.8)
 157:           190           4560  java.util.concurrent.ConcurrentLinkedQueue (java.base@11.0.8)
 158:            71           4544  com.sun.xml.bind.v2.model.impl.RuntimeAttributePropertyInfoImpl
 159:           142           4544  java.io.File (java.base@11.0.8)
 160:           137           4384  com.sun.xml.bind.v2.util.QNameMap$Entry
 161:           274           4384  sun.reflect.generics.tree.ClassTypeSignature (java.base@11.0.8)
 162:           182           4368  java.time.LocalDate (java.base@11.0.8)
 163:           136           4352  org.eclipse.jetty.util.IncludeExcludeSet
 164:           180           4320  io.netty.channel.unix.FileDescriptor
 165:           180           4320  io.netty.util.internal.ThreadExecutorMap$1
 166:           108           4320  java.math.BigInteger (java.base@11.0.8)
 167:           133           4256  java.lang.module.ModuleDescriptor$Requires (java.base@11.0.8)
 168:           265           4240  java.lang.ref.ReferenceQueue$Lock (java.base@11.0.8)
 169:           265           4240  java.util.HashSet (java.base@11.0.8)
 170:           174           4176  java.util.ArrayDeque (java.base@11.0.8)
 171:           104           4160  java.security.ProtectionDomain (java.base@11.0.8)
 172:           259           4144  java.lang.Byte (java.base@11.0.8)
 173:           259           4144  java.lang.Short (java.base@11.0.8)
 174:           171           4104  java.util.ImmutableCollections$SetN (java.base@11.0.8)
 175:           171           4104  javax.xml.namespace.QName (java.xml@11.0.8)
 176:           102           4080  java.security.CodeSource (java.base@11.0.8)
 177:           170           4080  java.util.Collections$SetFromMap (java.base@11.0.8)
 178:           168           4032  org.eclipse.jetty.util.component.ContainerLifeCycle$Bean
 179:           166           3984  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@11.0.8)
 180:            99           3960  java.lang.ref.Finalizer (java.base@11.0.8)
 181:            61           3904  java.lang.module.ModuleDescriptor (java.base@11.0.8)
 182:           176           3848  [Ljava.lang.reflect.Type; (java.base@11.0.8)
 183:            80           3840  org.eclipse.jetty.http.HttpHeader
 184:            48           3840  sun.net.www.protocol.jar.URLJarFile (java.base@11.0.8)
 185:            95           3800  java.io.ObjectStreamField (java.base@11.0.8)
 186:            62           3752  [Lcom.sun.org.apache.xerces.internal.util.SymbolHash$Entry; (java.xml@11.0.8)
 187:           231           3696  java.util.LinkedHashSet (java.base@11.0.8)
 188:           230           3680  org.apache.logging.log4j.message.ParameterizedMessageFactory
 189:            24           3648  io.netty.buffer.PoolArena$DirectArena
 190:            24           3648  io.netty.buffer.PoolArena$HeapArena
 191:           112           3584  java.io.RandomAccessFile (java.base@11.0.8)
 192:           145           3480  java.util.Collections$SingletonList (java.base@11.0.8)
 193:            71           3408  com.sun.org.apache.xerces.internal.impl.xs.XSAttributeDecl (java.xml@11.0.8)
 194:           105           3360  java.util.zip.ZipFile$CleanableResource (java.base@11.0.8)
 195:            60           3360  jdk.internal.module.ModuleReferenceImpl (java.base@11.0.8)
 196:           164           3288  [Lcom.sun.jmx.mbeanserver.MXBeanMapping; (java.management@11.0.8)
 197:           136           3264  org.eclipse.jetty.webapp.ClassMatcher$ByClass
 198:           136           3264  org.eclipse.jetty.webapp.ClassMatcher$ByLocationOrModule
 199:           136           3264  org.eclipse.jetty.webapp.ClassMatcher$ByModule
 200:           136           3264  org.eclipse.jetty.webapp.ClassMatcher$ByPackageOrName
 201:            81           3240  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@11.0.8)
 202:            80           3200  com.sun.management.internal.DiagnosticCommandArgumentInfo (jdk.management@11.0.8)
 203:           200           3200  com.sun.proxy.$Proxy14
 204:           198           3168  java.util.Collections$UnmodifiableSet (java.base@11.0.8)
 205:           196           3136  java.util.Collections$SingletonSet (java.base@11.0.8)
 206:            49           3136  javax.management.openmbean.OpenMBeanAttributeInfoSupport (java.management@11.0.8)
 207:            77           3080  com.sun.beans.introspect.PropertyInfo (java.desktop@11.0.8)
 208:            35           3080  jdk.internal.reflect.DelegatingClassLoader (java.base@11.0.8)
 209:           190           3040  com.sun.proxy.$Proxy31
 210:            63           3024  java.util.TreeMap (java.base@11.0.8)
 211:           113           2992  [Ljavax.management.ObjectName$Property; (java.management@11.0.8)
 212:            93           2976  com.sun.xml.bind.v2.runtime.Name
 213:           182           2912  java.util.concurrent.CountDownLatch (java.base@11.0.8)
 214:           180           2880  io.netty.channel.kqueue.KQueueEventLoop$1
 215:           180           2880  io.netty.util.collection.IntObjectHashMap$1
 216:           180           2880  io.netty.util.collection.IntObjectHashMap$EntrySet
 217:           180           2880  io.netty.util.collection.IntObjectHashMap$KeySet
 218:           179           2864  java.lang.ThreadLocal (java.base@11.0.8)
 219:            71           2840  com.sun.xml.bind.v2.runtime.property.AttributeProperty
 220:           118           2832  javax.management.ObjectName$Property (java.management@11.0.8)
 221:           175           2800  java.util.concurrent.atomic.AtomicInteger (java.base@11.0.8)
 222:            31           2728  java.util.regex.Pattern (java.base@11.0.8)
 223:            85           2720  java.util.logging.LogManager$LogNode (java.logging@11.0.8)
 224:           111           2664  java.util.ImmutableCollections$List12 (java.base@11.0.8)
 225:           163           2608  com.sun.proxy.$Proxy32
 226:           163           2608  java.util.concurrent.atomic.AtomicBoolean (java.base@11.0.8)
 227:            79           2528  org.apache.activemq.artemis.api.core.SimpleString
 228:           104           2496  java.util.zip.ZipFile$Source$Key (java.base@11.0.8)
 229:           154           2464  java.util.WeakHashMap$KeySet (java.base@11.0.8)
 230:            44           2464  java.util.logging.Logger (java.logging@11.0.8)
 231:           151           2416  java.util.ImmutableCollections$ListN (java.base@11.0.8)
 232:            99           2376  sun.reflect.generics.factory.CoreReflectionFactory (java.base@11.0.8)
 233:            49           2352  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@11.0.8)
 234:             2           2328  [Lorg.eclipse.jetty.http.HttpStatus$Code;
 235:            97           2328  com.sun.beans.introspect.MethodInfo (java.desktop@11.0.8)
 236:            29           2320  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLIILL (java.base@11.0.8)
 237:            41           2296  java.security.Provider$Service (java.base@11.0.8)
 238:            57           2280  java.io.FilePermission (java.base@11.0.8)
 239:            95           2280  java.security.Provider$ServiceKey (java.base@11.0.8)
 240:            71           2272  com.sun.org.apache.xerces.internal.impl.xs.XSAttributeUseImpl (java.xml@11.0.8)
 241:            71           2272  com.sun.org.apache.xerces.internal.xni.QName (java.xml@11.0.8)
 242:            93           2232  com.sun.xml.bind.v2.model.impl.FieldPropertySeed
 243:            93           2232  com.sun.xml.bind.v2.model.impl.RuntimeClassInfoImpl$RuntimePropertySeed
 244:            93           2232  com.sun.xml.bind.v2.runtime.reflect.Accessor$FieldReflection
 245:            46           2208  io.airlift.airline.model.CommandMetadata
 246:            91           2184  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@11.0.8)
 247:           136           2176  org.eclipse.jetty.webapp.ClassMatcher$ByLocation
 248:           136           2176  org.eclipse.jetty.webapp.ClassMatcher$ByPackage
 249:            66           2112  java.lang.invoke.LambdaForm$Kind (java.base@11.0.8)
 250:            23           2104  [[B (java.base@11.0.8)
 251:           130           2080  java.lang.Character (java.base@11.0.8)
 252:             1           2064  [Lorg.eclipse.jetty.http.HttpGenerator$PreparedResponse;
 253:            51           2040  java.lang.invoke.DirectMethodHandle$Special (java.base@11.0.8)
 254:            62           1984  com.sun.org.apache.xerces.internal.util.SymbolHash (java.xml@11.0.8)
 255:            62           1984  jdk.internal.reflect.UnsafeObjectFieldAccessorImpl (java.base@11.0.8)
 256:            41           1968  com.sun.management.internal.DiagnosticCommandInfo (jdk.management@11.0.8)
 257:            49           1960  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@11.0.8)
 258:            61           1952  java.security.Permissions (java.base@11.0.8)
 259:            61           1952  org.eclipse.jetty.http.HttpStatus$Code
 260:            78           1872  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@11.0.8)
 261:            21           1848  com.sun.xml.bind.v2.runtime.ClassBeanInfoImpl
 262:            76           1824  java.util.Arrays$ArrayList (java.base@11.0.8)
 263:            57           1824  javax.management.ObjectName (java.management@11.0.8)
 264:            45           1800  java.security.AccessControlContext (java.base@11.0.8)
 265:            45           1800  java.util.logging.Logger$ConfigurationData (java.logging@11.0.8)
 266:            56           1792  com.sun.xml.bind.v2.util.QNameMap
 267:            74           1776  java.util.Collections$UnmodifiableRandomAccessList (java.base@11.0.8)
 268:            74           1776  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@11.0.8)
 269:            37           1776  org.eclipse.jetty.http.pathmap.ServletPathSpec
 270:            13           1752  [Ljava.lang.ClassValue$Entry; (java.base@11.0.8)
 271:            73           1752  com.sun.xml.bind.v2.runtime.reflect.TransducedAccessor$CompositeTransducedAccessorImpl
 272:             3           1704  org.jctools.queues.MpscUnboundedArrayQueue
 273:            53           1696  sun.nio.fs.UnixFileKey (java.base@11.0.8)
 274:            21           1680  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@11.0.8)
 275:            30           1680  [Lorg.apache.activemq.artemis.utils.collections.LinkedListImpl$Iterator;
 276:            21           1680  com.sun.xml.bind.v2.model.impl.RuntimeClassInfoImpl
 277:           104           1664  [Ljava.security.Principal; (java.base@11.0.8)
 278:           104           1664  java.security.ProtectionDomain$Key (java.base@11.0.8)
 279:           104           1664  sun.nio.fs.UnixFileAttributes$UnixAsBasicFileAttributes (java.base@11.0.8)
 280:            68           1632  org.eclipse.jetty.webapp.ClassMatcher
 281:            40           1600  com.sun.org.apache.xerces.internal.impl.xs.XSParticleDecl (java.xml@11.0.8)
 282:            20           1600  com.sun.xml.bind.v2.model.impl.RuntimeReferencePropertyInfoImpl
 283:            40           1600  org.eclipse.jetty.http.HttpMethod
 284:            22           1584  com.sun.org.apache.xerces.internal.impl.xs.XSElementDecl (java.xml@11.0.8)
 285:            33           1584  java.time.temporal.ValueRange (java.base@11.0.8)
 286:            39           1560  org.apache.activemq.artemis.utils.actors.OrderedExecutor
 287:            32           1536  com.sun.org.apache.xerces.internal.impl.dv.xs.DecimalDV$XDecimal (java.xml@11.0.8)
 288:            48           1536  com.sun.org.apache.xerces.internal.impl.xs.traversers.OneAttr (java.xml@11.0.8)
 289:            64           1536  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@11.0.8)
 290:            48           1536  java.util.zip.ZipFile$CleanableResource$FinalizableResource (java.base@11.0.8)
 291:            19           1520  org.eclipse.jetty.servlet.FilterHolder
 292:            38           1520  sun.reflect.generics.repository.MethodRepository (java.base@11.0.8)
 293:             4           1504  org.apache.logging.log4j.core.util.Log4jThread
 294:            46           1472  java.util.Vector (java.base@11.0.8)
 295:            61           1464  sun.reflect.generics.scope.ClassScope (java.base@11.0.8)
 296:             2           1448  [Ljava.time.LocalDateTime; (java.base@11.0.8)
 297:            60           1440  java.lang.module.ResolvedModule (java.base@11.0.8)
 298:            60           1440  jdk.internal.module.SystemModuleFinders$2 (java.base@11.0.8)
 299:            60           1440  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@11.0.8)
 300:            30           1440  org.apache.activemq.artemis.utils.collections.LinkedListImpl
 301:            59           1416  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@11.0.8)
 302:            59           1416  org.eclipse.jetty.http.HttpGenerator$PreparedResponse
 303:            44           1408  org.jolokia.config.ConfigKey
 304:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@11.0.8)
 305:            13           1352  org.eclipse.jetty.servlet.ServletHolder
