 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         14480        5434568  [Ljava.lang.Object; (java.base@11.0.8)
   2:         35838        5004968  [B (java.base@11.0.8)
   3:          3649        4034240  [I (java.base@11.0.8)
   4:         50172        1204128  java.lang.String (java.base@11.0.8)
   5:          8450        1004040  java.lang.Class (java.base@11.0.8)
   6:           614         961016  [C (java.base@11.0.8)
   7:         21323         682336  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.8)
   8:          4997         439736  java.lang.reflect.Method (java.base@11.0.8)
   9:         10432         333824  java.util.HashMap$Node (java.base@11.0.8)
  10:         20186         322976  java.lang.Integer (java.base@11.0.8)
  11:          1948         280512  [Lorg.eclipse.jetty.util.TreeTrie$Node;
  12:          6835         273400  java.util.LinkedHashMap$Entry (java.base@11.0.8)
  13:          2923         253352  [Ljava.util.HashMap$Node; (java.base@11.0.8)
  14:         14027         224432  java.lang.Object (java.base@11.0.8)
  15:          6574         210368  java.lang.invoke.LambdaForm$Name (java.base@11.0.8)
  16:           360         207360  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  17:           307         194096  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.8)
  18:          6605         166232  [Ljava.lang.Class; (java.base@11.0.8)
  19:          1889         136008  io.netty.buffer.PoolSubpage
  20:          2332         130592  java.util.LinkedHashMap (java.base@11.0.8)
  21:          1715         123480  java.lang.reflect.Field (java.base@11.0.8)
  22:           420         121456  [J (java.base@11.0.8)
  23:           160         107520  io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
  24:          2177         104496  java.lang.invoke.MemberName (java.base@11.0.8)
  25:          3912          93888  java.util.ArrayList (java.base@11.0.8)
  26:          1927          92496  java.util.HashMap (java.base@11.0.8)
  27:          2220          88800  java.lang.ref.SoftReference (java.base@11.0.8)
  28:             2          80552  [Ljava.lang.Integer; (java.base@11.0.8)
  29:          1655          77920  [Ljava.lang.String; (java.base@11.0.8)
  30:          2315          74080  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@11.0.8)
  31:          1477          70896  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@11.0.8)
  32:          1948          62336  org.eclipse.jetty.util.TreeTrie$Node
  33:           857          54848  java.lang.Class$ReflectionData (java.base@11.0.8)
  34:          1347          53880  java.lang.invoke.MethodType (java.base@11.0.8)
  35:           711          53848  [Ljava.lang.invoke.LambdaForm$Name; (java.base@11.0.8)
  36:           650          52000  java.lang.reflect.Constructor (java.base@11.0.8)
  37:          1516          48512  javax.management.MBeanParameterInfo (java.management@11.0.8)
  38:           733          46912  java.nio.DirectByteBuffer (java.base@11.0.8)
  39:          1347          43104  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@11.0.8)
  40:           592          40256  [Ljava.lang.ref.SoftReference; (java.base@11.0.8)
  41:          1636          39264  java.lang.invoke.ResolvedMethodName (java.base@11.0.8)
  42:          2307          36912  java.util.concurrent.locks.ReentrantLock (java.base@11.0.8)
  43:           920          36800  java.util.TreeMap$Entry (java.base@11.0.8)
  44:          1092          34944  java.lang.ref.WeakReference (java.base@11.0.8)
  45:           848          33920  org.eclipse.jetty.xml.XmlParser$Node
  46:           706          33888  java.lang.invoke.LambdaForm (java.base@11.0.8)
  47:           505          32320  java.util.concurrent.ConcurrentHashMap (java.base@11.0.8)
  48:           418          28952  [Ljava.lang.reflect.Method; (java.base@11.0.8)
  49:           879          28128  java.lang.invoke.LambdaForm$NamedFunction (java.base@11.0.8)
  50:           180          27360  io.netty.channel.kqueue.KQueueEventLoop
  51:           484          27104  java.lang.invoke.LambdaFormEditor$Transform (java.base@11.0.8)
  52:          1125          27000  com.google.common.collect.SingletonImmutableSet
  53:           550          26400  io.airlift.airline.model.OptionMetadata
  54:           153          24480  org.apache.activemq.artemis.protocol.amqp.broker.AMQPStandardMessage
  55:          1004          24096  sun.reflect.annotation.AnnotationInvocationHandler (java.base@11.0.8)
  56:           739          23648  java.util.Locale (java.base@11.0.8)
  57:           738          23616  sun.util.locale.BaseLocale (java.base@11.0.8)
  58:           738          23616  sun.util.locale.BaseLocale$Key (java.base@11.0.8)
  59:           684          21888  java.lang.invoke.DirectMethodHandle (java.base@11.0.8)
  60:           547          21880  jdk.internal.ref.Cleaner (java.base@11.0.8)
  61:           327          20928  java.net.URL (java.base@11.0.8)
  62:           241          20736  [Ljava.util.WeakHashMap$Entry; (java.base@11.0.8)
  63:            99          19800  com.sun.org.apache.xerces.internal.impl.dv.xs.XSSimpleTypeDecl (java.xml@11.0.8)
