 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         15745        6307720  [Ljava.lang.Object; (java.base@11.0.8)
   2:         37425        5145152  [B (java.base@11.0.8)
   3:          3637        4034312  [I (java.base@11.0.8)
   4:         52038        1248912  java.lang.String (java.base@11.0.8)
   5:          8637        1025816  java.lang.Class (java.base@11.0.8)
   6:           625         978040  [C (java.base@11.0.8)
   7:         21897         700704  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.8)
   8:           964         647808  io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
   9:          5236         460768  java.lang.reflect.Method (java.base@11.0.8)
  10:         11486         367552  java.util.HashMap$Node (java.base@11.0.8)
  11:         20186         322976  java.lang.Integer (java.base@11.0.8)
  12:          7329         293160  java.util.LinkedHashMap$Entry (java.base@11.0.8)
  13:          1948         280512  [Lorg.eclipse.jetty.util.TreeTrie$Node;
  14:          3194         269768  [Ljava.util.HashMap$Node; (java.base@11.0.8)
  15:         14525         232400  java.lang.Object (java.base@11.0.8)
  16:          1317         224024  [J (java.base@11.0.8)
  17:          6582         210624  java.lang.invoke.LambdaForm$Name (java.base@11.0.8)
  18:           360         207360  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  19:           313         194576  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.8)
  20:          7034         177632  [Ljava.lang.Class; (java.base@11.0.8)
  21:          2013         144936  io.netty.buffer.PoolSubpage
  22:          2579         144424  java.util.LinkedHashMap (java.base@11.0.8)
  23:          1727         124344  java.lang.reflect.Field (java.base@11.0.8)
  24:          2288         109824  java.util.HashMap (java.base@11.0.8)
  25:          2235         107280  java.lang.invoke.MemberName (java.base@11.0.8)
  26:          3914          93936  java.util.ArrayList (java.base@11.0.8)
  27:          2244          89760  java.lang.ref.SoftReference (java.base@11.0.8)
  28:             2          80552  [Ljava.lang.Integer; (java.base@11.0.8)
  29:          2467          78944  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@11.0.8)
  30:          1655          77920  [Ljava.lang.String; (java.base@11.0.8)
  31:          1477          70896  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@11.0.8)
  32:          1948          62336  org.eclipse.jetty.util.TreeTrie$Node
  33:            72          57984  [Lio.netty.buffer.PoolSubpage;
  34:          1402          56080  java.lang.invoke.MethodType (java.base@11.0.8)
  35:           871          55744  java.lang.Class$ReflectionData (java.base@11.0.8)
  36:           715          54016  [Ljava.lang.invoke.LambdaForm$Name; (java.base@11.0.8)
  37:           658          52640  java.lang.reflect.Constructor (java.base@11.0.8)
  38:          1516          48512  javax.management.MBeanParameterInfo (java.management@11.0.8)
  39:           756          48384  java.nio.DirectByteBuffer (java.base@11.0.8)
  40:          1417          45344  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@11.0.8)
  41:          1691          40584  java.lang.invoke.ResolvedMethodName (java.base@11.0.8)
  42:           592          40256  [Ljava.lang.ref.SoftReference; (java.base@11.0.8)
  43:          2459          39344  java.util.concurrent.locks.ReentrantLock (java.base@11.0.8)
  44:           954          38160  java.util.TreeMap$Entry (java.base@11.0.8)
  45:            64          37376  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
  46:          1092          34944  java.lang.ref.WeakReference (java.base@11.0.8)
  47:           710          34080  java.lang.invoke.LambdaForm (java.base@11.0.8)
  48:           848          33920  org.eclipse.jetty.xml.XmlParser$Node
  49:           514          32896  java.util.concurrent.ConcurrentHashMap (java.base@11.0.8)
  50:           200          32000  org.apache.activemq.artemis.protocol.amqp.broker.AMQPStandardMessage
  51:           434          31376  [Ljava.lang.reflect.Method; (java.base@11.0.8)
  52:           936          29952  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
  53:           883          28256  java.lang.invoke.LambdaForm$NamedFunction (java.base@11.0.8)
  54:           180          27360  io.netty.channel.kqueue.KQueueEventLoop
  55:           484          27104  java.lang.invoke.LambdaFormEditor$Transform (java.base@11.0.8)
  56:          1125          27000  com.google.common.collect.SingletonImmutableSet
  57:           550          26400  io.airlift.airline.model.OptionMetadata
  58:          1004          24096  sun.reflect.annotation.AnnotationInvocationHandler (java.base@11.0.8)
  59:           739          23648  java.util.Locale (java.base@11.0.8)
  60:           738          23616  sun.util.locale.BaseLocale (java.base@11.0.8)
  61:           738          23616  sun.util.locale.BaseLocale$Key (java.base@11.0.8)
  62:           271          23392  [Ljava.util.WeakHashMap$Entry; (java.base@11.0.8)
  63:           720          23040  java.lang.invoke.DirectMethodHandle (java.base@11.0.8)
  64:           569          22760  jdk.internal.ref.Cleaner (java.base@11.0.8)
  65:           327          20928  java.net.URL (java.base@11.0.8)
  66:            99          19800  com.sun.org.apache.xerces.internal.impl.dv.xs.XSSimpleTypeDecl (java.xml@11.0.8)
  67:           351          19656  java.lang.invoke.MethodTypeForm (java.base@11.0.8)
  68:            51          19584  org.apache.activemq.artemis.utils.ActiveMQThreadFactory$1
  69:           595          19040  io.airlift.airline.Accessor
  70:           768          18432  io.netty.buffer.LongPriorityQueue
  71:           569          18208  java.nio.DirectByteBuffer$Deallocator (java.base@11.0.8)
  72:           438          17520  javax.management.MBeanOperationInfo (java.management@11.0.8)
  73:           420          16800  java.util.WeakHashMap$Entry (java.base@11.0.8)
  74:           700          16800  org.eclipse.jetty.util.ArrayTrie$Node
  75:           398          15920  java.lang.invoke.DirectMethodHandle$Accessor (java.base@11.0.8)
  76:           323          15504  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@11.0.8)
  77:           469          15008  java.util.Hashtable$Entry (java.base@11.0.8)
  78:           200          14400  org.apache.activemq.artemis.core.server.impl.MessageReferenceImpl
  79:           149          14304  java.util.jar.JarFile$JarFileEntry (java.base@11.0.8)
  80:           288          13824  io.netty.buffer.PoolChunkList
  81:           842          13568  [Lorg.eclipse.jetty.xml.XmlParser$Attribute;
  82:           211          13504  java.util.zip.Inflater (java.base@11.0.8)
  83:           104          13312  sun.nio.fs.UnixFileAttributes (java.base@11.0.8)
  84:           534          12816  java.util.concurrent.CopyOnWriteArrayList (java.base@11.0.8)
  85:           200          12800  org.apache.qpid.proton.amqp.messaging.Properties
  86:           396          12672  javax.management.MBeanAttributeInfo (java.management@11.0.8)
  87:           522          12520  [Ljava.lang.reflect.Constructor; (java.base@11.0.8)
  88:           253          12144  java.util.WeakHashMap (java.base@11.0.8)
  89:           319          12064  [Ljavax.management.MBeanParameterInfo; (java.management@11.0.8)
