 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         17289        6197856  [Ljava.lang.Object; (java.base@11.0.8)
   2:         40201        5655680  [B (java.base@11.0.8)
   3:          3634        4034168  [I (java.base@11.0.8)
   4:         55928        1342272  java.lang.String (java.base@11.0.8)
   5:          8635        1025592  java.lang.Class (java.base@11.0.8)
   6:           623         977864  [C (java.base@11.0.8)
   7:         21879         700128  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.8)
   8:           800         537600  io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
   9:          5236         460768  java.lang.reflect.Method (java.base@11.0.8)
  10:         11249         449960  java.util.LinkedHashMap$Entry (java.base@11.0.8)
  11:         11131         356192  java.util.HashMap$Node (java.base@11.0.8)
  12:          5145         329592  [Ljava.util.HashMap$Node; (java.base@11.0.8)
  13:         20186         322976  java.lang.Integer (java.base@11.0.8)
  14:          2000         320000  org.apache.activemq.artemis.protocol.amqp.broker.AMQPStandardMessage
  15:          2820         294792  [J (java.base@11.0.8)
  16:          1948         280512  [Lorg.eclipse.jetty.util.TreeTrie$Node;
  17:          4539         254184  java.util.LinkedHashMap (java.base@11.0.8)
  18:         14484         231744  java.lang.Object (java.base@11.0.8)
  19:          6582         210624  java.lang.invoke.LambdaForm$Name (java.base@11.0.8)
  20:           360         207360  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  21:           312         194496  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.8)
  22:          7034         177632  [Ljava.lang.Class; (java.base@11.0.8)
  23:          2000         144000  org.apache.activemq.artemis.core.server.impl.MessageReferenceImpl
  24:          1980         142560  io.netty.buffer.PoolSubpage
  25:          2000         128000  org.apache.qpid.proton.amqp.messaging.Properties
  26:          1727         124344  java.lang.reflect.Field (java.base@11.0.8)
  27:          2235         107280  java.lang.invoke.MemberName (java.base@11.0.8)
  28:          2163         103824  java.util.HashMap (java.base@11.0.8)
  29:          2001          96048  org.apache.qpid.proton.codec.CompositeReadableBuffer
  30:          3912          93888  java.util.ArrayList (java.base@11.0.8)
  31:          2242          89680  java.lang.ref.SoftReference (java.base@11.0.8)
  32:             2          80552  [Ljava.lang.Integer; (java.base@11.0.8)
  33:          1655          77920  [Ljava.lang.String; (java.base@11.0.8)
  34:          2420          77440  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@11.0.8)
  35:          1477          70896  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@11.0.8)
  36:          2000          64000  org.apache.qpid.proton.amqp.messaging.Header
  37:          1948          62336  org.eclipse.jetty.util.TreeTrie$Node
  38:          1402          56080  java.lang.invoke.MethodType (java.base@11.0.8)
  39:           871          55744  java.lang.Class$ReflectionData (java.base@11.0.8)
  40:           715          54016  [Ljava.lang.invoke.LambdaForm$Name; (java.base@11.0.8)
  41:           658          52640  java.lang.reflect.Constructor (java.base@11.0.8)
  42:          1516          48512  javax.management.MBeanParameterInfo (java.management@11.0.8)
  43:          2009          48216  org.apache.activemq.artemis.core.journal.impl.JournalRecord
  44:          2006          48144  java.util.Date (java.base@11.0.8)
  45:          2001          48024  org.apache.activemq.artemis.core.journal.impl.ObjIntIntArrayList
  46:           748          47872  java.nio.DirectByteBuffer (java.base@11.0.8)
  47:          1417          45344  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@11.0.8)
  48:            64          41472  [Lio.netty.buffer.PoolSubpage;
  49:          1691          40584  java.lang.invoke.ResolvedMethodName (java.base@11.0.8)
  50:           592          40256  [Ljava.lang.ref.SoftReference; (java.base@11.0.8)
  51:          2412          38592  java.util.concurrent.locks.ReentrantLock (java.base@11.0.8)
  52:           954          38160  java.util.TreeMap$Entry (java.base@11.0.8)
  53:          1092          34944  java.lang.ref.WeakReference (java.base@11.0.8)
  54:           710          34080  java.lang.invoke.LambdaForm (java.base@11.0.8)
  55:           848          33920  org.eclipse.jetty.xml.XmlParser$Node
  56:           510          32640  java.util.concurrent.ConcurrentHashMap (java.base@11.0.8)
  57:          2000          32000  org.apache.qpid.proton.amqp.messaging.MessageAnnotations
  58:           434          31376  [Ljava.lang.reflect.Method; (java.base@11.0.8)
  59:           883          28256  java.lang.invoke.LambdaForm$NamedFunction (java.base@11.0.8)
  60:           180          27360  io.netty.channel.kqueue.KQueueEventLoop
  61:           484          27104  java.lang.invoke.LambdaFormEditor$Transform (java.base@11.0.8)
  62:          1125          27000  com.google.common.collect.SingletonImmutableSet
  63:           550          26400  io.airlift.airline.model.OptionMetadata
  64:           780          24960  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
  65:            42          24528  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
  66:          1004          24096  sun.reflect.annotation.AnnotationInvocationHandler (java.base@11.0.8)
  67:           739          23648  java.util.Locale (java.base@11.0.8)
  68:           738          23616  sun.util.locale.BaseLocale (java.base@11.0.8)
  69:           738          23616  sun.util.locale.BaseLocale$Key (java.base@11.0.8)
  70:           720          23040  java.lang.invoke.DirectMethodHandle (java.base@11.0.8)
  71:           265          22848  [Ljava.util.WeakHashMap$Entry; (java.base@11.0.8)
  72:           562          22480  jdk.internal.ref.Cleaner (java.base@11.0.8)
  73:           327          20928  java.net.URL (java.base@11.0.8)
  74:            99          19800  com.sun.org.apache.xerces.internal.impl.dv.xs.XSSimpleTypeDecl (java.xml@11.0.8)
  75:           351          19656  java.lang.invoke.MethodTypeForm (java.base@11.0.8)
