 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         17210        6032392  [Ljava.lang.Object; (java.base@11.0.8)
   2:         40525        5701864  [B (java.base@11.0.8)
   3:          3634        4034168  [I (java.base@11.0.8)
   4:         55015        1320360  java.lang.String (java.base@11.0.8)
   5:          8615        1023264  java.lang.Class (java.base@11.0.8)
   6:           620         977640  [C (java.base@11.0.8)
   7:         21851         699232  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.8)
   8:          5236         460768  java.lang.reflect.Method (java.base@11.0.8)
   9:         10835         433400  java.util.LinkedHashMap$Entry (java.base@11.0.8)
  10:           640         430080  io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
  11:         11120         355840  java.util.HashMap$Node (java.base@11.0.8)
  12:          2153         344480  org.apache.activemq.artemis.protocol.amqp.broker.AMQPStandardMessage
  13:         20186         322976  java.lang.Integer (java.base@11.0.8)
  14:          4938         322904  [Ljava.util.HashMap$Node; (java.base@11.0.8)
  15:          2783         284448  [J (java.base@11.0.8)
  16:          1948         280512  [Lorg.eclipse.jetty.util.TreeTrie$Node;
  17:          4332         242592  java.util.LinkedHashMap (java.base@11.0.8)
  18:         14423         230768  java.lang.Object (java.base@11.0.8)
  19:          6582         210624  java.lang.invoke.LambdaForm$Name (java.base@11.0.8)
  20:           360         207360  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  21:           312         194496  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.8)
  22:          7032         177576  [Ljava.lang.Class; (java.base@11.0.8)
  23:          2153         155016  org.apache.activemq.artemis.core.server.impl.MessageReferenceImpl
  24:          1955         140760  io.netty.buffer.PoolSubpage
  25:          2153         137792  org.apache.qpid.proton.amqp.messaging.Properties
  26:          1727         124344  java.lang.reflect.Field (java.base@11.0.8)
  27:          2231         107088  java.lang.invoke.MemberName (java.base@11.0.8)
  28:          2163         103824  java.util.HashMap (java.base@11.0.8)
  29:          2154         103392  org.apache.qpid.proton.codec.CompositeReadableBuffer
  30:          3912          93888  java.util.ArrayList (java.base@11.0.8)
  31:          2240          89600  java.lang.ref.SoftReference (java.base@11.0.8)
  32:             2          80552  [Ljava.lang.Integer; (java.base@11.0.8)
  33:          1655          77920  [Ljava.lang.String; (java.base@11.0.8)
  34:          2390          76480  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@11.0.8)
  35:          1477          70896  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@11.0.8)
  36:          2153          68896  org.apache.qpid.proton.amqp.messaging.Header
  37:          1948          62336  org.eclipse.jetty.util.TreeTrie$Node
  38:          1400          56000  java.lang.invoke.MethodType (java.base@11.0.8)
  39:           871          55744  java.lang.Class$ReflectionData (java.base@11.0.8)
  40:           715          54016  [Ljava.lang.invoke.LambdaForm$Name; (java.base@11.0.8)
  41:           658          52640  java.lang.reflect.Constructor (java.base@11.0.8)
  42:          2162          51888  org.apache.activemq.artemis.core.journal.impl.JournalRecord
  43:          2159          51816  java.util.Date (java.base@11.0.8)
  44:          2154          51696  org.apache.activemq.artemis.core.journal.impl.ObjIntIntArrayList
  45:          1516          48512  javax.management.MBeanParameterInfo (java.management@11.0.8)
  46:           743          47552  java.nio.DirectByteBuffer (java.base@11.0.8)
  47:          1445          46240  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@11.0.8)
  48:          1688          40512  java.lang.invoke.ResolvedMethodName (java.base@11.0.8)
  49:           592          40256  [Ljava.lang.ref.SoftReference; (java.base@11.0.8)
  50:           954          38160  java.util.TreeMap$Entry (java.base@11.0.8)
  51:          2382          38112  java.util.concurrent.locks.ReentrantLock (java.base@11.0.8)
  52:          1092          34944  java.lang.ref.WeakReference (java.base@11.0.8)
  53:          2153          34448  org.apache.qpid.proton.amqp.messaging.MessageAnnotations
  54:           710          34080  java.lang.invoke.LambdaForm (java.base@11.0.8)
  55:           848          33920  org.eclipse.jetty.xml.XmlParser$Node
  56:           510          32640  java.util.concurrent.ConcurrentHashMap (java.base@11.0.8)
  57:           434          31376  [Ljava.lang.reflect.Method; (java.base@11.0.8)
  58:            59          31152  [Lio.netty.buffer.PoolSubpage;
  59:           883          28256  java.lang.invoke.LambdaForm$NamedFunction (java.base@11.0.8)
  60:           180          27360  io.netty.channel.kqueue.KQueueEventLoop
  61:           484          27104  java.lang.invoke.LambdaFormEditor$Transform (java.base@11.0.8)
  62:          1125          27000  com.google.common.collect.SingletonImmutableSet
  63:           550          26400  io.airlift.airline.model.OptionMetadata
  64:          1004          24096  sun.reflect.annotation.AnnotationInvocationHandler (java.base@11.0.8)
  65:           739          23648  java.util.Locale (java.base@11.0.8)
  66:           738          23616  sun.util.locale.BaseLocale (java.base@11.0.8)
  67:           738          23616  sun.util.locale.BaseLocale$Key (java.base@11.0.8)
  68:           716          22912  java.lang.invoke.DirectMethodHandle (java.base@11.0.8)
  69:           259          22304  [Ljava.util.WeakHashMap$Entry; (java.base@11.0.8)
  70:           556          22240  jdk.internal.ref.Cleaner (java.base@11.0.8)
  71:           327          20928  java.net.URL (java.base@11.0.8)
  72:           624          19968  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
  73:            99          19800  com.sun.org.apache.xerces.internal.impl.dv.xs.XSSimpleTypeDecl (java.xml@11.0.8)
  74:           351          19656  java.lang.invoke.MethodTypeForm (java.base@11.0.8)
  75:           595          19040  io.airlift.airline.Accessor
  76:           556          17792  java.nio.DirectByteBuffer$Deallocator (java.base@11.0.8)
  77:            30          17520  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
  78:           438          17520  javax.management.MBeanOperationInfo (java.management@11.0.8)
  79:           700          16800  org.eclipse.jetty.util.ArrayTrie$Node
  80:           345          16560  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@11.0.8)
